gene_id	symbol	description	locus	human_gene_id	human_gene_name
LOC119877132	LOC119877132	uncharacterized LOC119877132	17:39698798-39701439	<none>	<none>
LOC119877665	LOC119877665	cationic amino acid transporter 3-like	27:20448913-20450721	<none>	<none>
LOC608395	LOC608395	antimicrobial peptide NK-lysin-like	17:39747563-39751394	<none>	<none>
HOXC8	HOXC8	homeobox protein Hox-C8	27:45400137-45403590	3224	HOXC8
TBX3	TBX3	T-box transcription factor TBX3	26:12026728-12041404	6926	TBX3
LOC608248	LOC608248	uncharacterized gene	26:27715227-27717250	<none>	<none>
LOC119873370	LOC119873370	"uncharacterized LOC119873370, transcript variant X2"	9:56887326-56906122	<none>	<none>
LOC607582	LOC607582	uncharacterized gene	26:27719253-27721275	<none>	<none>
FNDC4	FNDC4	fibronectin type III domain-containing protein 4	17:21494475-21497512	64838	FNDC4
LOC102152290	LOC102152290	"uncharacterized LOC102152290, transcript variant X3"	34:11244015-11252929	<none>	<none>
LOC102151990	LOC102151990	"uncharacterized LOC102151990, transcript variant X2"	37:28609155-28618236	<none>	<none>
LRRC8E	LRRC8E	volume-regulated anion channel subunit LRRC8E	20:52993083-53000668	80131	LRRC8E
CYBB	CYBB	cytochrome b-245 beta chain	X:32671823-32706767	1536	CYBB
LOC119877130	LOC119877130	antimicrobial peptide NK-lysin-like	17:39661929-39665998	<none>	<none>
CA1	CA1	carbonic anhydrase 1	29:32466958-32476446	759	CA1
LOC481834	LOC481834	cysteine-rich secretory protein 2	12:17815984-17883555	<none>	<none>
POSTN	POSTN	periostin	25:3231130-3272726	10631	POSTN
PPBP	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	13:63577683-63579641	<none>	<none>
GYPA	GYPA	glycophorin A (MNS blood group)	15:43310881-43341844	<none>	<none>
ALAS2	ALAS2	"5-aminolevulinate synthase, erythroid-specific, mitochondrial"	X:46910743-46936916	212	ALAS2
NDUFA4L2	NDUFA4L2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2	10:1716421-1719551	56901	NDUFA4L2
LOC608379	LOC608379	uncharacterized gene	17:37714942-38060393	<none>	<none>
TIMD4	TIMD4	T-cell immunoglobulin and mucin domain-containing protein 4	4:53986239-54026173	91937	TIMD4
AHSP	AHSP	alpha-hemoglobin-stabilizing protein	6:16904632-16905550	51327	AHSP
SERPINB10	SERPINB10	serpin B10	1:13305669-13328274	5273	SERPINB10
PRSS57	PRSS57	serine protease 57	20:58354352-58357640	400668	PRSS57
CA12	CA12	carbonic anhydrase 12	30:28311867-28365995	771	CA12
MGAM	MGAM	"maltase-glucoamylase, intestinal"	16:6909377-7003078	8972	MGAM
LOC476825	LOC476825	hemoglobin subunit beta-like	21:28603136-28604496	<none>	<none>
CD248	CD248	endosialin	18:51494545-51497148	57124	CD248
RHCE	RHCE	Rh blood group CcEe antigens	2:73862179-73898556	6006	RHCE
CRLF1	CRLF1	cytokine receptor-like factor 1	20:44871168-44884262	9244	CRLF1
CCL23	CCL23	C-C motif chemokine 23	9:37728778-37732670	<none>	<none>
TREM2	TREM2	trem-like transcript 1 protein	12:10104147-10108997	340205	TREML1
FAM151A	FAM151A	family with sequence similarity 151 member A	5:54963098-54973891	338094	FAM151A
CD53	CD53	leukocyte surface antigen CD53	6:41528153-41547338	963	CD53
GATA1	GATA1	erythroid transcription factor	X:42196190-42203150	2623	GATA1
LOC100855558	LOC100855558	hemoglobin subunit alpha-like	6:40798910-40800239	<none>	<none>
GP1BA	GP1BA	glycoprotein Ib platelet subunit alpha	5:31887650-31890313	2811	GP1BA
EPB42	EPB42	protein 4.2	30:10359057-10378759	2038	EPB42
CCL14	CCL14	C-C motif chemokine 14	9:37748576-37751339	<none>	<none>
ADGRG3	ADGRG3	adhesion G protein-coupled receptor G3	2:58049476-58073530	222487	ADGRG3
LOC476396	LOC476396	sialic acid-binding Ig-like lectin 5	1:106076763-106096769	<none>	<none>
RHAG	RHAG	Rh associated glycoprotein	12:17684421-17705041	6005	RHAG
LOC482200	LOC482200	butyrophilin-like protein 10	14:180685-195332	<none>	<none>
