gene_id	symbol	description	biotype	locus	human_gene_id	human_gene_name
ENSFCAG00000039830			protein_coding	A3:103355943-103358076	<none>	<none>
ENSFCAG00000008068	MX1	interferon-induced GTP-binding protein Mx1 [Source:NCBI gene;Acc:101085996]	protein_coding	C2:4502665-4529456	ENSG00000157601	MX1
ENSFCAG00000014828	RPL10L	ribosomal protein L10 like [Source:NCBI gene;Acc:101089777]	protein_coding	B3:96961853-96962497	ENSG00000165496	RPL10L
ENSFCAG00000033862	IFI6	interferon alpha inducible protein 6 [Source:NCBI gene;Acc:101089878]	protein_coding	C1:20858513-20861342	ENSG00000126709	IFI6
ENSFCAG00000032098	ISG15	ISG15 ubiquitin-like modifier [Source:NCBI gene;Acc:100174787]	protein_coding	C1:135976-138058	ENSG00000187608	ISG15
ENSFCAG00000030232		ubiquitin specific peptidase 18 [Source:NCBI gene;Acc:101093867]	protein_coding	B4:34201086-34267912	<none>	<none>
ENSFCAG00000032179			protein_coding	B1:27943479-27944081	<none>	<none>
ENSFCAG00000009524	BEX3	brain expressed X-linked 3 [Source:NCBI gene;Acc:102899336]	protein_coding	X:85485523-85485861	ENSG00000166681	BEX3
ENSFCAG00000044734	EN2	engrailed homeobox 2 [Source:NCBI gene;Acc:101087911]	protein_coding	A2:168516681-168525163	ENSG00000164778	EN2
ENSFCAG00000000760	IRS4	insulin receptor substrate 4 [Source:NCBI gene;Acc:101093251]	protein_coding	X:91231464-91249821	ENSG00000133124	IRS4
ENSFCAG00000000539	NKX2-5	NK2 homeobox 5 [Source:NCBI gene;Acc:101090739]	protein_coding	A1:178735325-178738706	ENSG00000183072	NKX2-5
ENSFCAG00000043744			protein_coding	C2:88322405-88323119	<none>	<none>
ENSFCAG00000001211		ADP/ATP translocase 2 [Source:NCBI gene;Acc:111558717]	protein_coding	X:105479354-105483002	<none>	<none>
ENSFCAG00000014767			protein_coding	B4:78134590-78136749	<none>	<none>
ENSFCAG00000022639	SERPINB7	serpin family B member 7 [Source:NCBI gene;Acc:101085000]	protein_coding	D3:83648249-83669505	ENSG00000166396	SERPINB7
ENSFCAG00000013076			protein_coding	B3:135880727-135880933	<none>	<none>
ENSFCAG00000038527	C8orf88	chromosome F2 C8orf88 homolog [Source:NCBI gene;Acc:101101362]	protein_coding	F2:40288101-40324621	ENSG00000253250	C8orf88
ENSFCAG00000046050	EMX1	empty spiracles homeobox 1 [Source:NCBI gene;Acc:101097140]	protein_coding	A3:91896516-91912913	ENSG00000135638	EMX1
ENSFCAG00000022420			protein_coding	D3:73571291-73575763	<none>	<none>
ENSFCAG00000010159	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A [Source:NCBI gene;Acc:101101484]	protein_coding	B4:82858543-82866480	ENSG00000135447	PPP1R1A
ENSFCAG00000033665		trophinin [Source:NCBI gene;Acc:101096210]	protein_coding	X:47931687-47940356	ENSG00000067445	TRO
ENSFCAG00000025296			protein_coding	F1:34085845-34088279	<none>	<none>
ENSFCAG00000046288		60S ribosomal protein L36a-like [Source:NCBI gene;Acc:111559192]	protein_coding	AANG04003192.1:47-4532	<none>	<none>
ENSFCAG00000029140			protein_coding	D1:68736423-68737484	<none>	<none>
ENSFCAG00000026699	CDX2	caudal type homeobox 2 [Source:NCBI gene;Acc:101099011]	protein_coding	A1:7597035-7603603	ENSG00000165556	CDX2
ENSFCAG00000032822			protein_coding	C2:100792157-100794202	<none>	<none>
ENSFCAG00000031609	LHX8	LIM homeobox 8 [Source:NCBI gene;Acc:101086738]	protein_coding	C1:63078643-63101250	ENSG00000162624	LHX8
ENSFCAG00000025017	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1-like 1 [Source:NCBI gene;Acc:101085451]	protein_coding	A2:112374457-112375413	ENSG00000229937	PRPS1L1
ENSFCAG00000023987			protein_coding	A1:207088279-207088833	<none>	<none>
ENSFCAG00000029225			protein_coding	E3:30070609-30075549	ENSG00000005022	SLC25A5
ENSFCAG00000002145	DHX58	DExH-box helicase 58 [Source:NCBI gene;Acc:101094463]	protein_coding	E1:42759184-42767626	ENSG00000108771	DHX58
ENSFCAG00000002654	ADGRB3	adhesion G protein-coupled receptor B3 [Source:NCBI gene;Acc:101084448]	protein_coding	B2:64708055-65433080	ENSG00000135298	ADGRB3
ENSFCAG00000011638	COCH	cochlin [Source:NCBI gene;Acc:101081053]	protein_coding	B3:82894702-82912715	ENSG00000100473	COCH
ENSFCAG00000026551			protein_coding	E3:16359428-16360003	<none>	<none>
ENSFCAG00000045013	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:NCBI gene;Acc:101099402]	protein_coding	D2:8967733-8979496	ENSG00000119917	IFIT3
ENSFCAG00000040680	INSM1	INSM transcriptional repressor 1 [Source:NCBI gene;Acc:101083417]	protein_coding	A3:45624893-45626419	ENSG00000173404	INSM1
ENSFCAG00000044908	SP9	Sp9 transcription factor [Source:NCBI gene;Acc:111561872]	protein_coding	C1:165227983-165233808	ENSG00000217236	SP9
ENSFCAG00000001009			protein_coding	A2:12866725-12868513	ENSG00000130303	BST2
ENSFCAG00000030696	NOV	nephroblastoma overexpressed [Source:NCBI gene;Acc:101097377]	protein_coding	F2:65396066-65404755	ENSG00000136999	NOV
ENSFCAG00000044413	SP8	Sp8 transcription factor [Source:NCBI gene;Acc:111559511]	protein_coding	A2:114895658-114901237	ENSG00000164651	SP8
ENSFCAG00000000440	GLDC	glycine decarboxylase [Source:NCBI gene;Acc:101100163]	protein_coding	D4:34111534-34216290	ENSG00000178445	GLDC
ENSFCAG00000033310			protein_coding	B3:120363255-120368627	<none>	<none>
ENSFCAG00000042651		keratin 19 [Source:NCBI gene;Acc:101090662]	protein_coding	E1:42306533-42313120	ENSG00000171345	KRT19
ENSFCAG00000018198	HOOK1	hook microtubule tethering protein 1 [Source:NCBI gene;Acc:101097502]	protein_coding	C1:49105594-49177109	ENSG00000134709	HOOK1
ENSFCAG00000008779	NLGN1	neuroligin 1 [Source:NCBI gene;Acc:101081489]	protein_coding	C2:94372047-95038156	ENSG00000169760	NLGN1
ENSFCAG00000005914	GFI1	growth factor independent 1 transcriptional repressor [Source:NCBI gene;Acc:100127020]	protein_coding	C1:78863847-78874551	ENSG00000162676	GFI1
ENSFCAG00000045259			protein_coding	D3:66874628-66875864	<none>	<none>
ENSFCAG00000027420	DACH1	dachshund family transcription factor 1 [Source:NCBI gene;Acc:101084158]	protein_coding	A1:46291721-46536147	ENSG00000276644	DACH1
ENSFCAG00000044917	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	protein_coding	B3:80938754-80954424	ENSG00000176165	FOXG1
ENSFCAG00000044201			pseudogene	D2:9005159-9006652	<none>	<none>
ENSFCAG00000006614	FRMD5	FERM domain containing 5 [Source:NCBI gene;Acc:101095585]	protein_coding	B3:61404863-61720729	ENSG00000171877	FRMD5
ENSFCAG00000018859	FAM184A	family with sequence similarity 184 member A [Source:NCBI gene;Acc:101098460]	protein_coding	B2:110112397-110237418	ENSG00000111879	FAM184A
ENSFCAG00000043418	HRK	harakiri, BCL2 interacting protein [Source:NCBI gene;Acc:109493221]	protein_coding	D3:13833439-13833714	ENSG00000135116	HRK
ENSFCAG00000000072	NPPA	natriuretic peptide A [Source:NCBI gene;Acc:101100575]	protein_coding	C1:8668478-8678472	ENSG00000175206	NPPA
ENSFCAG00000022900			protein_coding	E1:9593014-9593445	<none>	<none>
ENSFCAG00000007099	GAD1	glutamate decarboxylase 1 [Source:NCBI gene;Acc:493699]	protein_coding	C1:162083592-162126348	ENSG00000128683	GAD1
ENSFCAG00000026205	ZBTB16	zinc finger and BTB domain containing 16 [Source:NCBI gene;Acc:101098251]	protein_coding	D1:11918306-12112239	ENSG00000109906	ZBTB16
ENSFCAG00000043396	ZIC5	Zic family member 5 [Source:NCBI gene;Acc:101083900]	protein_coding	A1:71317891-71328701	ENSG00000139800	ZIC5
ENSFCAG00000044308	LIN28B	lin-28 homolog B [Source:NCBI gene;Acc:101090940]	protein_coding	B2:97333425-97461822	ENSG00000187772	LIN28B
ENSFCAG00000025684	ZIC3	Zic family member 3 [Source:NCBI gene;Acc:101084941]	protein_coding	X:115603315-115614615	ENSG00000156925	ZIC3
ENSFCAG00000014159	SEZ6L2	seizure related 6 homolog like 2 [Source:NCBI gene;Acc:101097532]	protein_coding	E3:21292812-21310561	ENSG00000174938	SEZ6L2
ENSFCAG00000023883	SLC30A3	solute carrier family 30 member 3 [Source:NCBI gene;Acc:101099874]	protein_coding	A3:121226288-121237226	ENSG00000115194	SLC30A3
ENSFCAG00000044080	BEND4	BEN domain containing 4 [Source:NCBI gene;Acc:101092606]	protein_coding	B1:172498442-172530596	ENSG00000188848	BEND4
ENSFCAG00000013210	IFI44L	interferon induced protein 44 like [Source:NCBI gene;Acc:101090198]	protein_coding	C1:66279091-66293034	ENSG00000137959	IFI44L
ENSFCAG00000035348			protein_coding	E3:6907518-6916315	ENSG00000114942	EEF1B2
ENSFCAG00000002881	BARX2	BARX homeobox 2 [Source:NCBI gene;Acc:101095282]	protein_coding	D1:26315147-26392767	ENSG00000043039	BARX2
ENSFCAG00000036288			protein_coding	B4:144290242-144291550	<none>	<none>
ENSFCAG00000007395	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:NCBI gene;Acc:101089045]	protein_coding	D1:111669800-111709609	ENSG00000173898	SPTBN2
ENSFCAG00000004817		tetratricopeptide repeat and ankyrin repeat containing 1 [Source:NCBI gene;Acc:101091555]	pseudogene	C2:156029364-156106522	<none>	<none>
ENSFCAG00000000318	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:NCBI gene;Acc:101087875]	protein_coding	D3:10679720-10692300	ENSG00000089127	OAS1
ENSFCAG00000031146	LRRC4B	leucine rich repeat containing 4B [Source:NCBI gene;Acc:101098910]	protein_coding	E2:7642842-7704170	ENSG00000131409	LRRC4B
ENSFCAG00000022302			protein_coding	D1:77708912-77710523	<none>	<none>
ENSFCAG00000026520	FOXB1	forkhead box B1 [Source:NCBI gene;Acc:101100643]	protein_coding	B3:46932001-46932978	ENSG00000171956	FOXB1
ENSFCAG00000013201	GBX1	gastrulation brain homeobox 1 [Source:NCBI gene;Acc:101082642]	protein_coding	A2:165253844-165272453	ENSG00000164900	GBX1
ENSFCAG00000032521			protein_coding	D4:55707310-55708705	<none>	<none>
ENSFCAG00000035826			protein_coding	B3:86962190-86963990	<none>	<none>
ENSFCAG00000014633			pseudogene	X:94965922-94967442	<none>	<none>
ENSFCAG00000025373			protein_coding	B2:64871723-64872692	<none>	<none>
ENSFCAG00000029532	BARHL2	BarH like homeobox 2 [Source:NCBI gene;Acc:101095428]	protein_coding	C1:77274879-77282107	ENSG00000143032	BARHL2
ENSFCAG00000030454	PLS1	plastin 1 [Source:NCBI gene;Acc:101087776]	protein_coding	C2:123276558-123319214	ENSG00000120756	PLS1
ENSFCAG00000011602	PAX2	paired box 2 [Source:NCBI gene;Acc:101092147]	protein_coding	D2:61420461-61510585	ENSG00000075891	PAX2
ENSFCAG00000009212		galectin 9 [Source:NCBI gene;Acc:101087280]	protein_coding	E1:18863394-18878778	<none>	<none>
ENSFCAG00000031049			protein_coding	B3:32115207-32116710	<none>	<none>
ENSFCAG00000028961			protein_coding	A3:94502254-94502859	<none>	<none>
ENSFCAG00000029283	SLC6A15	solute carrier family 6 member 15 [Source:NCBI gene;Acc:101095111]	protein_coding	B4:109717224-109757077	ENSG00000072041	SLC6A15
ENSFCAG00000001853			protein_coding	B3:35721184-35722605	<none>	<none>
ENSFCAG00000031866	TCEAL9	transcription elongation factor A like 9 [Source:NCBI gene;Acc:101095557]	protein_coding	X:85463598-85463912	ENSG00000185222	TCEAL9
ENSFCAG00000024388			protein_coding	B1:164506733-164511049	<none>	<none>
ENSFCAG00000040551	ZIC2	Zic family member 2 [Source:NCBI gene;Acc:101084160]	protein_coding	A1:71339254-71347691	ENSG00000043355	ZIC2
ENSFCAG00000002719	SLIT1	slit guidance ligand 1 [Source:NCBI gene;Acc:101098258]	protein_coding	D2:58270359-58443278	ENSG00000187122	SLIT1
ENSFCAG00000028177			protein_coding	B3:119573113-119573595	<none>	<none>
ENSFCAG00000011876	DMBX1	diencephalon/mesencephalon homeobox 1 [Source:NCBI gene;Acc:101095758]	protein_coding	C1:37198215-37204539	ENSG00000197587	DMBX1
ENSFCAG00000012749	CNFN	cornifelin [Source:NCBI gene;Acc:101085763]	protein_coding	E2:13435170-13437416	ENSG00000105427	CNFN
ENSFCAG00000022349	IFI44	interferon induced protein 44 [Source:NCBI gene;Acc:101090452]	protein_coding	C1:66297680-66315202	ENSG00000137965	IFI44
ENSFCAG00000029692			processed_pseudogene	D2:24866337-24866558	<none>	<none>
ENSFCAG00000026168	DLX6	distal-less homeobox 6 [Source:NCBI gene;Acc:101098212]	protein_coding	A2:101758745-101764620	ENSG00000006377	DLX6
ENSFCAG00000005217	SYT9	synaptotagmin 9 [Source:NCBI gene;Acc:101087096]	protein_coding	D1:66154247-66354317	ENSG00000170743	SYT9
ENSFCAG00000024819			protein_coding	B2:629333-629812	<none>	<none>
ENSFCAG00000025767	IFI35	interferon induced protein 35 [Source:NCBI gene;Acc:101093657]	protein_coding	E1:43465505-43476032	ENSG00000068079	IFI35
ENSFCAG00000037339		cornifin-A [Source:NCBI gene;Acc:101087594]	protein_coding	C1:107860212-107860481	<none>	<none>
ENSFCAG00000044486	MNX1	motor neuron and pancreas homeobox 1 [Source:NCBI gene;Acc:101089429]	protein_coding	A2:169670383-169675106	ENSG00000130675	MNX1
ENSFCAG00000037691			protein_coding	E3:41807019-41810020	<none>	<none>
ENSFCAG00000031821	IRF7	interferon regulatory factor 7 [Source:NCBI gene;Acc:101084060]	protein_coding	D1:117316267-117318709	ENSG00000185507	IRF7
ENSFCAG00000024521	OTX2	orthodenticle homeobox 2 [Source:NCBI gene;Acc:101094107]	protein_coding	B3:106202761-106212743	ENSG00000165588	OTX2
ENSFCAG00000032860			protein_coding	C1:160825198-160827582	<none>	<none>
ENSFCAG00000028216			processed_pseudogene	B1:81471106-81471408	<none>	<none>
ENSFCAG00000034106	LBX1	ladybird homeobox 1 [Source:NCBI gene;Acc:101097100]	protein_coding	D2:61850995-61856093	ENSG00000138136	LBX1
ENSFCAG00000032092			processed_pseudogene	E2:63299558-63300061	<none>	<none>
ENSFCAG00000034643	TRIB3	tribbles pseudokinase 3 [Source:NCBI gene;Acc:101083255]	protein_coding	A3:27907492-27918690	ENSG00000101255	TRIB3
ENSFCAG00000026401			protein_coding	C1:100425462-100429540	<none>	<none>
ENSFCAG00000026148	GPNMB	glycoprotein nmb [Source:NCBI gene;Acc:101090001]	protein_coding	A2:117103787-117129621	ENSG00000136235	GPNMB
ENSFCAG00000022566	ITPKA	inositol-trisphosphate 3-kinase A [Source:NCBI gene;Acc:101084366]	protein_coding	B3:63830328-63838954	ENSG00000137825	ITPKA
ENSFCAG00000035139	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:NCBI gene;Acc:101090763]	protein_coding	A3:138425240-138446538	ENSG00000134321	RSAD2
ENSFCAG00000027241	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:NCBI gene;Acc:101081320]	protein_coding	C1:157409665-157455455	ENSG00000115339	GALNT3
ENSFCAG00000001235	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:NCBI gene;Acc:101100920]	protein_coding	D2:33732586-33736785	ENSG00000166228	PCBD1
ENSFCAG00000009130	RPS6KA6	ribosomal protein S6 kinase A6 [Source:NCBI gene;Acc:101094163]	protein_coding	X:71576924-71766693	ENSG00000072133	RPS6KA6
ENSFCAG00000028283		transmembrane protein 59 [Source:NCBI gene;Acc:101092021]	protein_coding	A3:88345008-88345978	<none>	<none>
ENSFCAG00000012729		ATPase Na+/K+ transporting subunit alpha 3 [Source:NCBI gene;Acc:101083636]	protein_coding	E2:13098566-13114775	ENSG00000105409	ATP1A3
ENSFCAG00000014963	TMEM266	transmembrane protein 266 [Source:NCBI gene;Acc:101095341]	protein_coding	B3:31105215-31180251	ENSG00000169758	TMEM266
ENSFCAG00000002416	RASEF	RAS and EF-hand domain containing [Source:NCBI gene;Acc:101081260]	protein_coding	D4:24065317-24145006	ENSG00000165105	RASEF
ENSFCAG00000002404	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:NCBI gene;Acc:101088769]	protein_coding	C1:146611527-147159866	ENSG00000144278	GALNT13
ENSFCAG00000026584	LRP1B	LDL receptor related protein 1B [Source:NCBI gene;Acc:101082332]	protein_coding	C1:133971241-135875522	ENSG00000168702	LRP1B
ENSFCAG00000014031	GDAP1	ganglioside induced differentiation associated protein 1 [Source:NCBI gene;Acc:101101612]	protein_coding	F2:25977836-26024704	ENSG00000104381	GDAP1
ENSFCAG00000011031	VCAM1	vascular cell adhesion molecule 1 [Source:NCBI gene;Acc:101088865]	protein_coding	C1:86473047-86491367	ENSG00000162692	VCAM1
ENSFCAG00000037257			protein_coding	C1:57920260-58278673	ENSG00000033122	LRRC7
ENSFCAG00000031298	UNC80	unc-80 homolog, NALCN channel complex subunit [Source:NCBI gene;Acc:101098246]	protein_coding	C1:195786536-196010847	ENSG00000144406	UNC80
