gene_id	symbol	description	biotype	locus	has_ortholog	human_gene_name
ENSCAFG00000008909	CNBD1	cyclic nucleotide binding domain containing 1 [Source:VGNC Symbol;Acc:VGNC:39388]	protein_coding	29:33031247-33529180	1	CNBD1
ENSCAFG00000012211	NDST4	N-deacetylase and N-sulfotransferase 4 [Source:VGNC Symbol;Acc:VGNC:43684]	protein_coding	32:34351162-34631039	1	NDST4
ENSCAFG00000045887			lncRNA	12:68754664-68755969	0	<none>
ENSCAFG00000045198			lncRNA	X:9768663-9770216	0	<none>
ENSCAFG00000009767	NHLH2	nescient helix-loop-helix 2 [Source:VGNC Symbol;Acc:VGNC:43799]	protein_coding	17:53359258-53458795	1	NHLH2
ENSCAFG00000004047		ret finger protein like 4B [Source:NCBI gene;Acc:111098190]	protein_coding	12:68755990-68756802	1	RFPL4B
ENSCAFG00000011494	PEX5L	peroxisomal biogenesis factor 5 like [Source:VGNC Symbol;Acc:VGNC:44436]	protein_coding	34:13187807-13416827	1	PEX5L
ENSCAFG00000009686	SIM2	SIM bHLH transcription factor 2 [Source:VGNC Symbol;Acc:VGNC:46175]	protein_coding	31:31879360-31930359	1	SIM2
ENSCAFG00000048030			lncRNA	30:3501037-3657246	0	<none>
ENSCAFG00000016017	KRT24	keratin 24 [Source:VGNC Symbol;Acc:VGNC:42523]	protein_coding	9:21967227-21971917	1	KRT24
ENSCAFG00000016403	GRIFIN	galectin-related inter-fiber protein [Source:VGNC Symbol;Acc:VGNC:54031]	protein_coding	6:14673400-14679435	1	GRIFIN
ENSCAFG00000041052	C14orf132	chromosome 8 C14orf132 homolog [Source:NCBI gene;Acc:106559199]	protein_coding	8:64813303-64855348	1	C14orf132
ENSCAFG00000009014	NEFL	neurofilament light [Source:VGNC Symbol;Acc:VGNC:43724]	protein_coding	25:32463452-32467224	1	NEFL
ENSCAFG00000002426	SOSTDC1	sclerostin domain containing 1 [Source:VGNC Symbol;Acc:VGNC:46668]	protein_coding	14:31022766-31026737	1	SOSTDC1
ENSCAFG00000010414	GCG	glucagon [Source:VGNC Symbol;Acc:VGNC:41143]	protein_coding	36:7544637-7554021	1	GCG
ENSCAFG00000033023			lncRNA	X:9699754-9734995	0	<none>
ENSCAFG00000023806	KRT25	keratin 25 [Source:VGNC Symbol;Acc:VGNC:49880]	protein_coding	9:21940413-21947487	1	KRT25
ENSCAFG00000029738	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:VGNC Symbol;Acc:VGNC:53674]	protein_coding	1:103277662-103293995	1	CACNG7
ENSCAFG00000007956	ROBO2	roundabout guidance receptor 2 [Source:VGNC Symbol;Acc:VGNC:45685]	protein_coding	31:9419026-11022392	1	ROBO2
ENSCAFG00000031083	RGS8	regulator of G protein signaling 8 [Source:VGNC Symbol;Acc:VGNC:45538]	protein_coding	7:16053946-16080388	1	RGS8
ENSCAFG00000011532	EGF	epidermal growth factor [Source:VGNC Symbol;Acc:VGNC:40235]	protein_coding	32:30073950-30166295	1	EGF
ENSCAFG00000017813	NMUR2	neuromedin U receptor 2 [Source:VGNC Symbol;Acc:VGNC:43867]	protein_coding	4:56994886-57008384	1	NMUR2
ENSCAFG00000041364	NKAIN2	sodium/potassium transporting ATPase interacting 2 [Source:NCBI gene;Acc:100688012]	protein_coding	1:62910841-63858164	1	NKAIN2
ENSCAFG00000029145	PROKR1	prokineticin receptor 1 [Source:VGNC Symbol;Acc:VGNC:54534]	protein_coding	10:67548067-67557369	1	PROKR1
ENSCAFG00000006520	KCNG3	potassium voltage-gated channel modifier subfamily G member 3 [Source:VGNC Symbol;Acc:VGNC:42246]	protein_coding	17:34022261-34080603	1	KCNG3
ENSCAFG00000045548			protein_coding	17:62778715-62809158	0	<none>
ENSCAFG00000041650			lncRNA	12:72123264-72142445	0	<none>
ENSCAFG00000018317	ASPG	asparaginase [Source:VGNC Symbol;Acc:VGNC:50441]	protein_coding	8:71753164-71765349	1	ASPG
ENSCAFG00000012794	CELF3	CUGBP Elav-like family member 3 [Source:VGNC Symbol;Acc:VGNC:39095]	protein_coding	17:60735628-60746615	1	CELF3
ENSCAFG00000009907	NTM	neurotrimin [Source:VGNC Symbol;Acc:VGNC:44005]	protein_coding	5:2725943-3658311	1	NTM
ENSCAFG00000020194	BARHL2	BarH like homeobox 2 [Source:VGNC Symbol;Acc:VGNC:38381]	protein_coding	6:57971018-57977211	1	BARHL2
ENSCAFG00000036707			lncRNA	5:46823007-46824764	0	<none>
ENSCAFG00000047942			lncRNA	X:1344756-1358413	0	<none>
ENSCAFG00000041209			lncRNA	11:69538702-69690779	0	<none>
ENSCAFG00000042681			lncRNA	15:43256768-43309126	0	<none>
ENSCAFG00000008178	GDAP1	ganglioside induced differentiation associated protein 1 [Source:VGNC Symbol;Acc:VGNC:41155]	protein_coding	29:22804965-22833069	1	GDAP1
ENSCAFG00000010619	BICD1	BICD cargo adaptor 1 [Source:VGNC Symbol;Acc:VGNC:38450]	protein_coding	27:16484121-16612044	1	BICD1
ENSCAFG00000042315			lncRNA	27:39454622-39627502	0	<none>
ENSCAFG00000012487	MYO3B	myosin IIIB [Source:VGNC Symbol;Acc:VGNC:49692]	protein_coding	36:14803514-15209820	1	MYO3B
ENSCAFG00000003665	SLC17A7	solute carrier family 17 member 7 [Source:VGNC Symbol;Acc:VGNC:46252]	protein_coding	1:107054410-107063550	1	SLC17A7
ENSCAFG00000013781	COL26A1	collagen type XXVI alpha 1 chain [Source:NCBI gene;Acc:608184]	protein_coding	6:8380486-8502083	1	COL26A1
ENSCAFG00000016296	DNAH14	dynein axonemal heavy chain 14 [Source:VGNC Symbol;Acc:VGNC:49870]	protein_coding	7:39310585-39641151	0	<none>
ENSCAFG00000018179	DCX	doublecortin [Source:VGNC Symbol;Acc:VGNC:54132]	protein_coding	X:84408895-84517827	1	DCX
ENSCAFG00000007196	KIAA1549L	KIAA1549 like [Source:VGNC Symbol;Acc:VGNC:42370]	protein_coding	18:34028430-34286589	1	KIAA1549L
ENSCAFG00000001292	LY6H	lymphocyte antigen 6 family member H [Source:VGNC Symbol;Acc:VGNC:51776]	protein_coding	13:36984853-36987118	1	LY6H
ENSCAFG00000012550	SP5	Sp5 transcription factor [Source:VGNC Symbol;Acc:VGNC:46688]	protein_coding	36:15255960-15258645	1	SP5
ENSCAFG00000009880	SNCA	synuclein alpha [Source:VGNC Symbol;Acc:VGNC:46596]	protein_coding	32:12916215-13060383	1	SNCA
ENSCAFG00000011980	ABCB11	ATP binding cassette subfamily B member 11 [Source:VGNC Symbol;Acc:VGNC:37433]	protein_coding	36:13746964-13834974	1	ABCB11
ENSCAFG00000049665		mitogen-activated protein kinase 11 [Source:NCBI gene;Acc:607019]	protein_coding	10:16980965-16984761	1	MAPK11
ENSCAFG00000039342			lncRNA	3:44990848-45108060	0	<none>
ENSCAFG00000008741	EPHA3	EPH receptor A3 [Source:VGNC Symbol;Acc:VGNC:40406]	protein_coding	33:769423-1115986	1	EPHA3
ENSCAFG00000006881	SLC1A2	solute carrier family 1 member 2 [Source:VGNC Symbol;Acc:VGNC:46262]	protein_coding	18:32565258-32709225	1	SLC1A2
ENSCAFG00000000968	FSTL4	follistatin like 4 [Source:VGNC Symbol;Acc:VGNC:41000]	protein_coding	11:21458678-21856547	1	FSTL4
ENSCAFG00000008917	LBP	lipopolysaccharide binding protein [Source:NCBI gene;Acc:485869]	protein_coding	24:26809843-26833434	1	LBP
ENSCAFG00000015805	SYP	synaptophysin [Source:VGNC Symbol;Acc:VGNC:54605]	protein_coding	X:42288148-42299487	1	SYP
ENSCAFG00000019805	EPS8L3	EPS8 like 3 [Source:VGNC Symbol;Acc:VGNC:40430]	protein_coding	6:42167049-42176797	1	EPS8L3
ENSCAFG00000003579	GREB1	growth regulating estrogen receptor binding 1 [Source:VGNC Symbol;Acc:VGNC:53638]	protein_coding	17:8252134-8325886	1	GREB1
ENSCAFG00000004958	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:VGNC Symbol;Acc:VGNC:38246]	protein_coding	1:112325289-112346916	1	ATP1A3
ENSCAFG00000012931	KCNQ2	potassium voltage-gated channel subfamily Q member 2 [Source:VGNC Symbol;Acc:VGNC:42288]	protein_coding	24:47060245-47089711	1	KCNQ2
ENSCAFG00000015954	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:VGNC Symbol;Acc:VGNC:51898]	protein_coding	4:33516911-34156416	1	GRID1
ENSCAFG00000000932	SLC35F1	solute carrier family 35 member F1 [Source:VGNC Symbol;Acc:VGNC:46375]	protein_coding	1:58010752-58397987	1	SLC35F1
ENSCAFG00000002613	SYT5	synaptotagmin 5 [Source:VGNC Symbol;Acc:VGNC:47048]	protein_coding	1:102456782-102463749	1	SYT5
ENSCAFG00000008079	CTNNA2	catenin alpha 2 [Source:NCBI gene;Acc:483088]	protein_coding	17:43472923-44557766	1	CTNNA2
ENSCAFG00000003510	PTPRZ1	protein tyrosine phosphatase receptor type Z1 [Source:VGNC Symbol;Acc:VGNC:54793]	protein_coding	14:59827650-59943315	1	PTPRZ1
ENSCAFG00000004736	BEND7	BEN domain containing 7 [Source:VGNC Symbol;Acc:VGNC:38433]	protein_coding	2:22977139-23054867	1	BEND7
ENSCAFG00000012998	ACE	angiotensin I converting enzyme [Source:NCBI gene;Acc:610668]	protein_coding	9:11497182-11516358	1	ACE
ENSCAFG00000003800	PPFIA3	PTPRF interacting protein alpha 3 [Source:VGNC Symbol;Acc:VGNC:44845]	protein_coding	1:107319427-107331463	1	PPFIA3
ENSCAFG00000049981			lncRNA	13:37759611-37773919	0	<none>
ENSCAFG00000017606	UNC79	unc-79 homolog, NALCN channel complex subunit [Source:VGNC Symbol;Acc:VGNC:48144]	protein_coding	8:62594083-62831367	1	UNC79
ENSCAFG00000000031	NETO1	neuropilin and tolloid like 1 [Source:VGNC Symbol;Acc:VGNC:43748]	protein_coding	1:6114067-6225821	1	NETO1
ENSCAFG00000008418	NCAM2	neural cell adhesion molecule 2 [Source:VGNC Symbol;Acc:VGNC:43637]	protein_coding	31:16912908-17429510	1	NCAM2
ENSCAFG00000020177	CALB2	calbindin 2 [Source:VGNC Symbol;Acc:VGNC:38661]	protein_coding	5:77177951-77205671	1	CALB2
ENSCAFG00000048128			lncRNA	19:39078070-39110043	0	<none>
ENSCAFG00000009755	SALL1	spalt like transcription factor 1 [Source:VGNC Symbol;Acc:VGNC:45847]	protein_coding	2:64243987-64259521	1	SALL1
ENSCAFG00000012243	NEFH	neurofilament heavy [Source:VGNC Symbol;Acc:VGNC:43723]	protein_coding	26:22726526-22735125	1	NEFM
ENSCAFG00000013228	CNKSR2	connector enhancer of kinase suppressor of Ras 2 [Source:VGNC Symbol;Acc:VGNC:39404]	protein_coding	X:17187742-17463102	1	CNKSR2
ENSCAFG00000016934	NGFR	nerve growth factor receptor [Source:VGNC Symbol;Acc:VGNC:55650]	protein_coding	9:25601074-25623274	1	NGFR
ENSCAFG00000018621	CACHD1	cache domain containing 1 [Source:VGNC Symbol;Acc:VGNC:38630]	protein_coding	5:45556477-45676655	1	CACHD1
ENSCAFG00000001962	PHF24	PHD finger protein 24 [Source:VGNC Symbol;Acc:VGNC:44489]	protein_coding	11:51569770-51577059	1	PHF24
ENSCAFG00000033387			lncRNA	JH373296.1:23907-39966	0	<none>
ENSCAFG00000000430	ESR1	estrogen receptor 1 [Source:VGNC Symbol;Acc:VGNC:40476]	protein_coding	1:42081969-42368544	1	ESR1
ENSCAFG00000018929	DAB1	DAB adaptor protein 1 [Source:VGNC Symbol;Acc:VGNC:39758]	protein_coding	5:52231141-52502336	1	DAB1
ENSCAFG00000001178	COL22A1	collagen type XXII alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:39468]	protein_coding	13:33735656-33996401	0	<none>
ENSCAFG00000010423	COL4A4	collagen type IV alpha 4 chain [Source:VGNC Symbol;Acc:VGNC:39476]	protein_coding	25:39854388-39976189	1	COL4A4
ENSCAFG00000011782	GFRA1	GDNF family receptor alpha 1 [Source:VGNC Symbol;Acc:VGNC:41189]	protein_coding	28:26709645-26909992	1	GFRA1
ENSCAFG00000009059	COL2A1	collagen type II alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:39471]	protein_coding	27:6756994-6787733	1	COL2A1
ENSCAFG00000009270	PEBP4	phosphatidylethanolamine binding protein 4 [Source:VGNC Symbol;Acc:VGNC:44409]	protein_coding	25:34317421-34574066	1	PEBP4
ENSCAFG00000034213			lncRNA	7:1662159-1663211	0	<none>
ENSCAFG00000011726	EGFL6	EGF like domain multiple 6 [Source:VGNC Symbol;Acc:VGNC:40236]	protein_coding	X:9995846-10062266	1	EGFL6
ENSCAFG00000009491	NRN1	neuritin 1 [Source:VGNC Symbol;Acc:VGNC:43973]	protein_coding	35:6070379-6078965	1	NRN1
ENSCAFG00000002142	IL1RL1	interleukin 1 receptor like 1 [Source:VGNC Symbol;Acc:VGNC:41961]	protein_coding	10:40659041-40677357	1	IL1RL1
ENSCAFG00000023362	SERPINB11	serpin family B member 11 [Source:VGNC Symbol;Acc:VGNC:53529]	protein_coding	1:13410079-13487008	1	SERPINB11
ENSCAFG00000009019	NEFM	neurofilament medium [Source:VGNC Symbol;Acc:VGNC:43725]	protein_coding	25:32493675-32498570	0	<none>
ENSCAFG00000014152	BRINP2	BMP/retinoic acid inducible neural specific 2 [Source:VGNC Symbol;Acc:VGNC:38528]	protein_coding	7:22339056-22448854	1	BRINP2
ENSCAFG00000032379	PEG10	paternally expressed 10 [Source:VGNC Symbol;Acc:VGNC:49685]	protein_coding	14:20121414-20134133	1	PEG10
ENSCAFG00000010215	UNC5C	unc-5 netrin receptor C [Source:VGNC Symbol;Acc:VGNC:48141]	protein_coding	32:17987464-18333602	1	UNC5C
ENSCAFG00000016325	CNIH3	cornichon family AMPA receptor auxiliary protein 3 [Source:VGNC Symbol;Acc:VGNC:39401]	protein_coding	7:39755782-39847158	1	CNIH3
